S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
65,SIA/GJ/IND1/446623/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/145716/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/10/2023",MetTube Copper India Private Limited,GUJARAT,METTUBE COPPER INDIA PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
66,SIA/GJ/IND1/445388/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/144617/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
29/09/2023",Proposed Expansion project of MS Ingots/Billets & TMT Steel Bars/Channels/Angels Manufacturing Unit By M/s. Hibond Steel Private Limited,GUJARAT,HIBOND STEEL PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
67,SIA/GJ/IND1/420671/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/121246/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
28/09/2023",Metal Tech Industries,GUJARAT,METAL TECH INDUSTRIES,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
68,SIA/GJ/IND1/441407/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/112589/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/09/2023",Expansion of Ferrous Castings product,GUJARAT,FLOMETALLIC INDIA PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
69,SIA/GJ/IND1/439857/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/107989/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
27/09/2023","Environment Clearance of Copper rod and Copper Wire Manufacturing Unit in Survey No 21, Village Asoj, Vadodara-Halol Highway, Taluka Waghodia, Vadodara, Gujarat, India.",GUJARAT,BIRLA COPPER ASOJ PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
70,SIA/GJ/IND1/444683/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/143960/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
18/09/2023",RRR Steel Rolling Mills Pvt. Ltd.,GUJARAT,RRR STEEL ROLLING MILLS PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
71,SIA/GJ/IND1/422634/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122968/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
15/09/2023",M/s. Panchmahal Steel Ltd.,GUJARAT,PANCHMAHAL STEEL LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
72,SIA/GJ/IND1/438509/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/138214/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/09/2023","Secondary Aluminium Production unit of Banco Aluminium Ltd. at Miyagam-Karjan, Vadodara, Gujarat",GUJARAT,BANCO ALUMINIUM LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
73,SIA/GJ/IND1/437270/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137081/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
07/09/2023","Forged & Machined Items manufacturing unit with 43000 MTA capacity of SE Forge Ltd. at Plot No.1, SEZ unit in AspenPark Infra Vadodara Pvt. Ltd., Village: Piparia, Taluka: Waghodia, District: Vadodara- 391760, Gujarat",GUJARAT,SE FORGE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
74,SIA/GJ/IND1/436797/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136626/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
26/08/2023","Application for grant of TOR and EC Of Existing Rolling Mill under notification S.O. 3250 dated 20.07.2022 ((TMT Steel Rods/Bars (8-50 MM), Round Steel Rods/Bars (6-800 MM), Square Steel Rods/Bars (8-80 MM), Square Steel Rods/Bars (8-80 MM) with Production capacity 311040 TPA) at Survey no. 231/1, 231/2, 232, 233 & 234, Lunva, Taluka: Bhachau, District: Kutch, Gujarat by M/s S. Poddar International (India) Pvt Ltd",GUJARAT,S PODDAR INTERNATIONAL (INDIA) PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
75,SIA/GJ/IND1/437330/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137147/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
25/08/2023",Environment Clearance for Existing Secondary Metallurgical Industry by M/s. Shree Parmeshwar Steels Pvt. Ltd.,GUJARAT,SHREE PARMESHWAR STEELS PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
76,SIA/GJ/IND1/430011/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/129700/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/08/2023","Regularization project of M/s. Raajratna Ventures Ltd. of production facilities for Stainless-steel Fasteners (like Screw, Bolts, Nuts etc.), Threaded bars, Stainless steel Section Tube and Solar PV Module at Plot No. 69/2, 78, 79 &80/4, 80/5, Kalol-Mehsana Highway, Village: Chandarada - 382729, Ta: Kadi &Dist: Mehsana, Gujarat.",GUJARAT,M/S. RAAJRATNA VENTURES LTD.,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
77,SIA/GJ/IND1/436579/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136361/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
21/08/2023","Aluminium Billet manufacturing unit with 72000 MTA capacity of Banco Aluminium Ltd. at Miyagam-Karjan, Vadodara, Gujarat",GUJARAT,BANCO ALUMINIUM LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
78,SIA/GJ/IND1/440444/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/140035/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
14/08/2023",Virat Alloys Pvt. Ltd,GUJARAT,VIRAT ALLOYS PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
79,SIA/GJ/IND1/431466/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128801/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/08/2023",M/s. Maxim Tubes Company Pvt. Ltd.,GUJARAT,MAXIM TUBES COMPANY PVT. LTD.,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
80,SIA/GJ/IND1/434020/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/133392/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/08/2023",Metso India Pvt. Ltd.,GUJARAT,METSO OUTOTEC INDIA PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
81,SIA/GJ/IND1/437172/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136962/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
05/08/2023",Ratnadeep Metal & Tubes Ltd,GUJARAT,RATNADEEP METAL AND TUBES LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
82,SIA/GJ/IND1/432838/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/132238/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
29/07/2023",M/s. Maheshvar Ispat Private Limited,GUJARAT,MAHESHVAR ISPAT PRIVATE LIMITED,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
83,SIA/GJ/IND1/435244/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/134990/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
28/07/2023","Proposed regularization with expansion project by M/s. Prabodh Steel Pvt. Ltd. For manufacturing of Mild steel billets, Ingots and TMT Bars, MS Flat, CTD, Square Bars, located at S. No 225 Paiki 1 and 226 Paiki, Plot no.1, Ghanghali, Ta: Sihor, Dist. – Bhavnagar, Gujarat - 364240.",GUJARAT,PRABODH STEEL PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
84,SIA/GJ/IND1/436352/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136127/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
21/07/2023","Regularization and inclusion of existing Rolling project/products in Environment Clearance of M/s. Varrsana Ispat Limited in Integrated Steel Plant at Survey No. 116/1, Varsana, Ta: Anjar Dist: Kutch, Gujarat - 370201.",GUJARAT,VARRSANA ISPAT LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
85,SIA/GJ/IND1/437529/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137335/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/07/2023",Bhoomi Metacast Pvt. Ltd.,GUJARAT,BHOOMI METACAST PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
86,SIA/GJ/IND1/437432/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137246/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/07/2023",Shivam Steel Cast Pvt. Ltd,GUJARAT,SHIVAM STEELCAST PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
87,SIA/GJ/IND1/437381/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137182/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/07/2023",Nandeshwari Steel Ltd,GUJARAT,NANDESHWARI STEEL LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
88,SIA/GJ/IND1/437408/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137222/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
20/07/2023",Vishal Aluminium Pvt. Ltd,GUJARAT,VISHAL ALUMINIUM PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
89,SIA/GJ/IND1/437396/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137208/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",Divine Tubes Pvt. Ltd,GUJARAT,DIVINE TUBES PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
90,SIA/GJ/IND1/437390/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137206/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",M/S. Prem Conductors Pvt. Ltd.,GUJARAT,PREM CONDUCTORS PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
91,SIA/GJ/IND1/436308/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136056/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",JAY JALARAM EXTRUSIONS,GUJARAT,JAY JALARAM EXTRUSIONS,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
92,SIA/GJ/IND1/437357/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137179/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",Environment Clearance for Existing Secondary Metallurgical Industry by M/s. Vivan Steels Pvt. Ltd.,GUJARAT,SAHIL PATEL,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
93,SIA/GJ/IND1/436513/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136301/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",ATLAS METAL INDUSTRIES PRIVATE LIMITED,GUJARAT,ATLAS METAL INDUSTRIES PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
94,SIA/GJ/IND1/437233/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137047/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",Mangalam Worldwide Pvt. Ltd.,GUJARAT,MANGALAM WORLDWIDE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
95,SIA/GJ/IND1/437073/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136888/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",M/s. Narmda Concast Private Limited,GUJARAT,NARMADA CONCAST PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
96,SIA/GJ/IND1/437008/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136814/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
19/07/2023",M/s. HK Ispat Pvt. Ltd.,GUJARAT,HK ISPAT PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
97,SIA/GJ/IND1/437211/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/137018/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
18/07/2023",B R Steel Industries,GUJARAT,B.R. STEEL INDUSTRIES,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
98,SIA/GJ/IND1/437140/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136960/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
18/07/2023",Environment Clearance for Existing Secondary Metallurgical Industry by M/s. Agarwal TMT Industries Pvt. Ltd.,GUJARAT,AGARWAL TMT INDUSTRIES PRIVATE LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
99,SIA/GJ/IND1/437004/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136819/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/07/2023",Environment Clearance for Existing Secondary Metallurgical Industry by M/s. Aditya Ultra Steel Pvt. Ltd.,GUJARAT,ADITYA ULTRA STEEL LIMITED,SEIAA,EDS raised,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
100,SIA/GJ/IND1/435594/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/135346/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/07/2023","Regularization with expansion project by M/s. Minda Kosei Aluminum Wheel Pvt. Ltd. for manufacturing of Alloy Wheels located at Survey no. 98,123,125,126,1461,1463,1464,1465,1505, Village: Dekawada, Tal: Detroj, Dist: Ahmedabad, Gujarat-382120",GUJARAT,MINDA KOSEI ALUMINUM WHEEL PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
101,SIA/GJ/IND1/436452/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/136089/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/07/2023",Steefo Steels LLP,GUJARAT,STEEFO TMT PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
102,SIA/GJ/IND1/435431/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/135181/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/07/2023",M/s. Ashutosh Metal Private Limited (Unit II),GUJARAT,ASHUTOSH METAL PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
103,SIA/GJ/IND1/435292/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/135028/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/07/2023",M/s. Shree Shubh Laxmi Rolling Mill,GUJARAT,SHREE SHUBH LAXMI ROLLING MILL,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
104,SIA/GJ/IND1/434586/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/134339/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
26/06/2023",M/s Madhusudan Specials Sections Pvt. Ltd. (Unit II),GUJARAT,SHYAM RAGHWANI,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
105,SIA/GJ/IND1/429559/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/129466/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/06/2023","Regularization project of M/s. Mono Steel (India) Ltd of production facilities for Hot Rolling Mill-Steel product (TMT bar) with quantity of 112000 TPA in existing products Sponge Iron Plant (192000 TPA), Pig Iron Plant (66000 TPA), Steel Ingots/Billets (192000 TPA) and Captive Power Plant (18 MWH) located at Survey No. 375/1, 375/2, 374, 396/1, 397, 398, 376, 378/2, 377/1, 377/2 Paiki 2 &3, Vill: Dhamadaka, Ta. Anjar, Dist: Kutch.",GUJARAT,MONO STEEL INDIA LTD,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
106,SIA/GJ/IND1/431853/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/129982/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/06/2023",Expansion of Metallurgical Industry of M/s. Mangalam Alloys Ltd.,GUJARAT,MANGALAM ALLOYS LIMITED,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
107,SIA/GJ/IND1/421939/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122360/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/06/2023",M/s. Ratnesh Metal Industries Pvt Ltd,GUJARAT,RATNESH METAL INDUSTRIES PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
108,SIA/GJ/IND1/428643/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128577/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/06/2023",Proposed expansion of secondary Metallurgical project by Shri Raghuvir Steel Private Limited,GUJARAT,SHRI RAGHUVIR STEEL PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
109,SIA/GJ/IND1/431688/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/129188/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/06/2023","Proposed Expansion Project of Secondary Metallurgical unit of M/s. Ratnashri Aluminium Pvt. Ltd., located at Survey Nos. 1221 + 1219, B/h, Madhu Textiles, Before Nandasan cross road, Rajpur, Ta: Kadi, Dist. Mehsana, Gujarat.",GUJARAT,RATNASHRI ALUMINIUM PVT. LTD.,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
110,SIA/GJ/IND1/424923/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/125073/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/05/2023",M/s.. Royal Strips Pvt Ltd-Application for obtaining ToR for regularization of Existing Manufacturing unit of Steel Rolling Mill as new project.,GUJARAT,ROYAL STRIPS PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
111,SIA/GJ/IND1/428621/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128572/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/05/2023",Shree laxmi Metal,GUJARAT,SHREE LAXMI METAL,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
112,SIA/GJ/IND1/427567/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/127494/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
17/05/2023",Recall Alloys,GUJARAT,RECALL ALLOYS,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
113,SIA/GJ/IND1/427532/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/122552/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
16/05/2023",Proposed Expansion of Secondary Metallurgy Plant (Alloy wheels Manufacturing unit)of M/s. Steel Strips Wheels Ltd,GUJARAT,M/S STEEL STRIPS WHEELS LTD,SEIAA,EC Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
114,SIA/GJ/IND1/428689/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128644/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/05/2023",Umiya Steel Industries,GUJARAT,UMIYA STEEL INDUSTRIES,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
115,SIA/GJ/IND1/428541/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128492/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/05/2023",M/s. Rotec Steel Industries,GUJARAT,ROTEC STEEL INDUSTRIES,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
116,SIA/GJ/IND1/428495/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128407/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/05/2023",M/s. Phoenix Foils Pvt. Ltd.,GUJARAT,M/S.PHOENIX FOILS PVT. LTD.,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
117,SIA/GJ/IND1/428369/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128314/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/05/2023",Chandanpani Pvt Ltd,GUJARAT,CHANDANPANI PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
118,SIA/GJ/IND1/413130/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/114144/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/05/2023",Maruti Steel Re Rolling Mill,GUJARAT,MARUTI STEEL RE-ROLLING MILLS,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
119,SIA/GJ/IND1/413686/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107816/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
26/04/2023",JSW Steel Limited,GUJARAT,JSW STEEL LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
120,SIA/GJ/IND1/424143/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/124311/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/04/2023",Existing Cold Rolling unit of M/s. Chromeni Steels Private Limited,GUJARAT,CHROMENI STEELS LIMITED,SEIAA,TOR GRANTED,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
121,SIA/GJ/IND1/422089/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122483/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/04/2023",M/s. Metronox Private Limited,GUJARAT,METRONOX PRIVATE LIMITED,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
122,SIA/GJ/IND1/422971/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/123213/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
07/04/2023",M/s. Rathod Industries - Application for ToR for Existing Manufacturing unit of Steel Rolling Mill for regularization of the existing manufacturing activities,GUJARAT,RATHOD INDUSTRIES,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
123,SIA/GJ/IND1/421714/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122191/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
01/04/2023","Environment Clearance for Manufacturing of Copper Tubes, wires & rod at Plot No. 187/P & 187/P/1/B/2, 187/P & 187/P/1/B/3, 187/P & 187/P/1/B/4, 187/P & 187/P/1/B/5 & 187/P & 187/P/1/B/6, Waghodia GIDC, Village and Taluka: Waghodia, District: Vadodara, Gujarat.",GUJARAT,CHINTAMANI KULKARNI,SEIAA,TOR Granted,GUJARAT,3(a) Metallurgical Industries (ferrous and non ferrous)
